asset,market_id,market_slug,token_id,lag_hours,signal_time_ns,entry_time_ns,exit_time_ns,side,notional_usd,probability_change,gross_return,net_return,pnl_usd
BTC,1343220,will-bitcoin-dip-to-10000-by-december-31-2026-888-644-567-258-946-853,42439528758178981890895605039938161151582654744978607695897321288347422769852,24,1777089600000000000,1777093200000000000,1777179600000000000,1,10.0,0.0005000000000000004,0.0061028033958849814,0.0021028033958849814,0.021028033958849814
BTC,1343220,will-bitcoin-dip-to-10000-by-december-31-2026-888-644-567-258-946-853,42439528758178981890895605039938161151582654744978607695897321288347422769852,24,1777093200000000000,1777096800000000000,1777183200000000000,1,10.0,0.0,0.006392087699633953,0.0023920876996339525,0.023920876996339525
BTC,1343220,will-bitcoin-dip-to-10000-by-december-31-2026-888-644-567-258-946-853,42439528758178981890895605039938161151582654744978607695897321288347422769852,24,1777096800000000000,1777100400000000000,1777186800000000000,1,10.0,0.000999999999999994,0.007759106666620275,0.0037591066666202745,0.037591066666202745
BTC,1343220,will-bitcoin-dip-to-10000-by-december-31-2026-888-644-567-258-946-853,42439528758178981890895605039938161151582654744978607695897321288347422769852,24,1777168800000000000,1777172400000000000,1777258800000000000,-1,10.0,0.0,-0.022031981566975167,-0.026031981566975167,-0.26031981566975165
BTC,1343220,will-bitcoin-dip-to-10000-by-december-31-2026-888-644-567-258-946-853,42439528758178981890895605039938161151582654744978607695897321288347422769852,24,1777172400000000000,1777176000000000000,1777262400000000000,-1,10.0,0.0,-0.01478547730876123,-0.01878547730876123,-0.1878547730876123
BTC,1343220,will-bitcoin-dip-to-10000-by-december-31-2026-888-644-567-258-946-853,42439528758178981890895605039938161151582654744978607695897321288347422769852,24,1777176000000000000,1777179600000000000,1777266000000000000,-1,10.0,0.0,0.002536055471356713,-0.0014639445286432871,-0.014639445286432871
BTC,1343220,will-bitcoin-dip-to-10000-by-december-31-2026-888-644-567-258-946-853,42439528758178981890895605039938161151582654744978607695897321288347422769852,24,1777179600000000000,1777183200000000000,1777269600000000000,-1,10.0,0.0,0.003832354859752085,-0.00016764514024791496,-0.0016764514024791496
BTC,1343220,will-bitcoin-dip-to-10000-by-december-31-2026-888-644-567-258-946-853,42439528758178981890895605039938161151582654744978607695897321288347422769852,24,1777183200000000000,1777186800000000000,1777273200000000000,-1,10.0,0.0,0.006349730284025301,0.002349730284025301,0.02349730284025301
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,1,1777039200000000000,1777042800000000000,1777046400000000000,1,10.0,0.0,-0.0030725403539876295,-0.0070725403539876296,-0.0707254035398763
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,1,1777042800000000000,1777046400000000000,1777050000000000000,-1,10.0,0.010000000000000009,-0.0012647463816597426,-0.005264746381659743,-0.05264746381659743
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,1,1777046400000000000,1777050000000000000,1777053600000000000,-1,10.0,0.0,-0.00013795481979661517,-0.004137954819796615,-0.04137954819796615
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,1,1777050000000000000,1777053600000000000,1777057200000000000,-1,10.0,0.0,-0.0007241629021690343,-0.004724162902169034,-0.047241629021690344
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,1,1777053600000000000,1777057200000000000,1777060800000000000,-1,10.0,0.0,-0.002097691247415545,-0.006097691247415545,-0.06097691247415545
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,1,1777057200000000000,1777060800000000000,1777064400000000000,-1,10.0,0.0,0.004852845727647437,0.0008528457276474367,0.008528457276474367
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,1,1777060800000000000,1777064400000000000,1777068000000000000,-1,10.0,0.0,0.0014080978584817272,-0.002591902141518273,-0.02591902141518273
