rank,asset,symbol,market_id,market_slug,token_id,question,horizon_hours,segment_type,segment_value,combined_regime,simplicity,sample_count,train_samples,test_samples,learned_direction,train_direction_match_rate,test_direction_match_rate,train_average_forward_return,test_average_forward_return,train_win_rate,test_win_rate,full_correlation,train_correlation,test_correlation,train_test_direction_match,stability,baseline_test_average_forward_return,test_improvement_over_baseline,score,grade,filter_reason
38,BTC,BTCUSDT,1823771,will-bitcoin-reach-105k-in-april-2026,5855998775638456008143009293415543579001929689452953587667154608243793082021,"Will Bitcoin reach $105,000 in April?",1,funding_intensity,low,,1.0,456,273,183,-1,0.42857142857142855,0.3333333333333333,2.2638010381254483e-05,-6.983449328810182e-05,0.04395604395604396,0.0273224043715847,0.03501335215700262,0.02792121634248517,0.048003126394172264,False,0.30558424326849704,-6.983449328810182e-05,0.0,2.505584243268497,WEAK,train_test_direction_mismatch
39,BTC,BTCUSDT,1823771,will-bitcoin-reach-105k-in-april-2026,5855998775638456008143009293415543579001929689452953587667154608243793082021,"Will Bitcoin reach $105,000 in April?",4,funding_direction,negative,,1.0,453,271,182,1,0.4642857142857143,0.4,7.983727667286051e-05,-5.236140022308489e-05,0.04797047970479705,0.03296703296703297,0.023020983187279218,0.052998213614273225,-0.020704786528828588,False,0.004140957305765718,-5.236140022308489e-05,0.0,2.204140957305766,WEAK,train_test_direction_mismatch
40,BTC,BTCUSDT,1823771,will-bitcoin-reach-105k-in-april-2026,5855998775638456008143009293415543579001929689452953587667154608243793082021,"Will Bitcoin reach $105,000 in April?",4,funding_intensity,low,,1.0,453,271,182,1,0.4642857142857143,0.4,7.983727667286051e-05,-5.236140022308489e-05,0.04797047970479705,0.03296703296703297,0.023020983187279218,0.052998213614273225,-0.020704786528828588,False,0.004140957305765718,-5.236140022308489e-05,0.0,2.204140957305766,WEAK,train_test_direction_mismatch
41,BTC,BTCUSDT,1823771,will-bitcoin-reach-105k-in-april-2026,5855998775638456008143009293415543579001929689452953587667154608243793082021,"Will Bitcoin reach $105,000 in April?",24,funding_direction,negative,,1.0,433,259,174,1,0.6785714285714286,0.5,3.659111296497423e-05,-9.111183566012788e-05,0.07335907335907337,0.040229885057471264,-0.06516509397222299,0.030804645864762448,-0.22549973897040815,False,0.00616092917295249,-9.111183566012788e-05,0.0,2.2061609291729525,WEAK,train_test_direction_mismatch
42,BTC,BTCUSDT,1823771,will-bitcoin-reach-105k-in-april-2026,5855998775638456008143009293415543579001929689452953587667154608243793082021,"Will Bitcoin reach $105,000 in April?",24,funding_intensity,low,,1.0,433,259,174,1,0.6785714285714286,0.5,3.659111296497423e-05,-9.111183566012788e-05,0.07335907335907337,0.040229885057471264,-0.06516509397222299,0.030804645864762448,-0.22549973897040815,False,0.00616092917295249,-9.111183566012788e-05,0.0,2.2061609291729525,WEAK,train_test_direction_mismatch
43,XRP,XRPUSDT,1823900,will-xrp-reach-2pt4-in-april-2026,6907787482165930535735013797025597365762483807798181321474369791814479389352,Will XRP reach $2.40 in April?,1,funding_direction,negative,,1.0,416,249,167,-1,0.5211267605633803,0.5151515151515151,0.00010054081919779498,-4.1417833441931646e-05,0.14859437751004015,0.10179640718562874,-0.01843698474205366,-0.019079414016121055,-0.024798775995914103,False,0.3038158828032242,-4.1417833441931646e-05,0.0,2.503815882803224,WEAK,train_test_direction_mismatch
44,XRP,XRPUSDT,1823900,will-xrp-reach-2pt4-in-april-2026,6907787482165930535735013797025597365762483807798181321474369791814479389352,Will XRP reach $2.40 in April?,1,funding_intensity,low,,1.0,416,249,167,-1,0.5211267605633803,0.5151515151515151,0.00010054081919779498,-4.1417833441931646e-05,0.14859437751004015,0.10179640718562874,-0.01843698474205366,-0.019079414016121055,-0.024798775995914103,False,0.3038158828032242,-4.1417833441931646e-05,0.0,2.503815882803224,WEAK,train_test_direction_mismatch
45,ETH,ETHUSDT,1823794,will-ethereum-reach-3000-in-april-2026,98694887273478515891138203442549017191281454470497426834485838288268569808164,"Will Ethereum reach $3,000 in April?",4,funding_direction,negative,,1.0,399,239,160,1,0.6047904191616766,0.4339622641509434,0.00021684909323643232,-0.0003039682045610629,0.4225941422594142,0.14375,0.021415436127066454,0.030721890449915693,-0.07376408528502928,False,0.006144378089983139,-0.0003039682045610629,0.0,2.2061443780899834,WEAK,train_test_direction_mismatch
46,ETH,ETHUSDT,1823794,will-ethereum-reach-3000-in-april-2026,98694887273478515891138203442549017191281454470497426834485838288268569808164,"Will Ethereum reach $3,000 in April?",4,funding_intensity,low,,1.0,399,239,160,1,0.6047904191616766,0.4339622641509434,0.00021684909323643232,-0.0003039682045610629,0.4225941422594142,0.14375,0.021415436127066454,0.030721890449915693,-0.07376408528502928,False,0.006144378089983139,-0.0003039682045610629,0.0,2.2061443780899834,WEAK,train_test_direction_mismatch
47,XRP,XRPUSDT,1823900,will-xrp-reach-2pt4-in-april-2026,6907787482165930535735013797025597365762483807798181321474369791814479389352,Will XRP reach $2.40 in April?,24,funding_direction,negative,,1.0,393,235,158,1,0.5606060606060606,0.47058823529411764,9.25756495837145e-05,-8.947446122999643e-05,0.1574468085106383,0.10126582278481013,0.0196834851581197,0.024196218343107652,-0.06776902625752695,False,0.0048392436686215306,-8.947446122999643e-05,0.0,2.2048392436686215,WEAK,train_test_direction_mismatch
48,XRP,XRPUSDT,1823900,will-xrp-reach-2pt4-in-april-2026,6907787482165930535735013797025597365762483807798181321474369791814479389352,Will XRP reach $2.40 in April?,24,funding_intensity,low,,1.0,393,235,158,1,0.5606060606060606,0.47058823529411764,9.25756495837145e-05,-8.947446122999643e-05,0.1574468085106383,0.10126582278481013,0.0196834851581197,0.024196218343107652,-0.06776902625752695,False,0.0048392436686215306,-8.947446122999643e-05,0.0,2.2048392436686215,WEAK,train_test_direction_mismatch
