rank,asset,market_id,market_slug,token_id,horizon_hours,feature_name,segment_type,segment_value,final_grade,retained_after_dedup,rejection_reasons,sample_count,test_samples,unique_flow_hours,active_wallet_coverage,non_zero_net_flow_coverage,test_improvement_over_baseline,net_test_improvement_after_cost,test_win_rate,stability
4454,ETH,1823800,will-ethereum-dip-to-1800-in-april-2026,88623813947148129759226599572615258910454701043061032464667581751883927272067,24,whale_flow_score,flow_direction,buy_dominant,REJECTED,False,duplicate_segment_competition;improvement_below_cost_buffer;insufficient_unique_flow_hours;low_sample_count;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,21,9,2,1.0,1.0,-0.0004978542481168535,-0.004497854248116853,0.5555555555555556,0.5
4455,ETH,1823800,will-ethereum-dip-to-1800-in-april-2026,88623813947148129759226599572615258910454701043061032464667581751883927272067,24,whale_flow_score,whale_flow_bucket,normal,REJECTED,False,duplicate_segment_competition;improvement_below_cost_buffer;insufficient_unique_flow_hours;low_sample_count;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,21,9,2,1.0,1.0,-0.0004978542481168535,-0.004497854248116853,0.5555555555555556,0.5
4456,BTC,1823771,will-bitcoin-reach-105k-in-april-2026,5855998775638456008143009293415543579001929689452953587667154608243793082021,1,flow_momentum_4h,flow_direction,sell_dominant,REJECTED,False,duplicate_segment_competition;improvement_below_cost_buffer;insufficient_unique_flow_hours;low_sample_count;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,21,9,10,1.0,1.0,-0.0004980792134612269,-0.004498079213461227,0.2222222222222222,0.0028625988207559186
4457,BTC,2054828,will-bitcoin-reach-82500-in-april,94423609542225753670941582315634376847502597669978386106469977359775855278346,24,unique_active_wallets,copy_flow_bucket,absent,REJECTED,False,duplicate_segment_competition;improvement_below_cost_buffer;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,174,70,75,1.0,1.0,-0.0005007805193777259,-0.004500780519377726,0.44285714285714284,0.31038894614883294
4458,BTC,2054828,will-bitcoin-reach-82500-in-april,94423609542225753670941582315634376847502597669978386106469977359775855278346,24,abs_net_flow_usdc,copy_flow_bucket,absent,REJECTED,False,duplicate_segment_competition;improvement_below_cost_buffer;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,174,70,75,1.0,1.0,-0.0005007805193777259,-0.004500780519377726,0.44285714285714284,0.006460889795610731
4459,BTC,1823776,will-bitcoin-reach-80k-in-april-2026-794,22893138393795740138249503228269517733051888602506683062209713465144747482167,4,net_flow_usdc,copy_flow_bucket,absent,REJECTED,False,duplicate_segment_competition;improvement_below_cost_buffer;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,639,256,96,1.0,1.0,-0.0005014255041155066,-0.004501425504115507,0.45703125,0.00794495169947205
4460,BTC,948958,bitcoin-all-time-high-by-december-31-2026,102959890468928530190954086704155483076852880798676895426376704430618826404382,24,flow_momentum_24h,all,all,REJECTED,True,improvement_below_cost_buffer;insufficient_unique_flow_hours;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,244,98,11,1.0,1.0,-0.0005015158694632005,-0.0045015158694632,0.5,0.0
4461,BTC,948958,bitcoin-all-time-high-by-december-31-2026,102959890468928530190954086704155483076852880798676895426376704430618826404382,24,flow_momentum_24h,active_wallet_bucket,high,REJECTED,False,duplicate_segment_competition;improvement_below_cost_buffer;insufficient_unique_flow_hours;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,244,98,11,1.0,1.0,-0.0005015158694632005,-0.0045015158694632,0.5,0.0
4462,BTC,948958,bitcoin-all-time-high-by-december-31-2026,102959890468928530190954086704155483076852880798676895426376704430618826404382,24,flow_momentum_24h,flow_direction,buy_dominant,REJECTED,False,duplicate_segment_competition;improvement_below_cost_buffer;insufficient_unique_flow_hours;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,244,98,11,1.0,1.0,-0.0005015158694632005,-0.0045015158694632,0.5,0.0
4463,BTC,948958,bitcoin-all-time-high-by-december-31-2026,102959890468928530190954086704155483076852880798676895426376704430618826404382,24,flow_momentum_24h,whale_flow_bucket,normal,REJECTED,False,duplicate_segment_competition;improvement_below_cost_buffer;insufficient_unique_flow_hours;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,244,98,11,1.0,1.0,-0.0005015158694632005,-0.0045015158694632,0.5,0.0
